Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C15, C16, C47, C48, C49, C50, C52, C56, C58, C6, C7, C79, C8, C9",0402,19,10uF,
"C14, C43",0402,2,470nF,
"C17, C2, C3, C54, C75, C76, C77",0402,7,1uF,
"C18, C19, C26, C28, C34, C36, C42, C45, C59, C60, C63, C64",0402,12,22nF,
"C20, C22, C24, C27, C30, C32, C35, C38, C40, C44, C51, C55, C61, C62, C67, C68, C71, C72",0402,18,33nF,
"C21, C25, C29, C33, C37, C41, C46, C57, C65, C66, C73, C74",0402,12,4.7nF,
"C23, C31, C39, C53, C69, C70",0402,6,15nF,
"C4, C5",0402,2,22pF,
C78,0402,1,0.1uF,
D1,0603,1,RED,
D2,D_SOD-123,1,MBR120,
"IC1, IC2",QFN-36_EP_5.9x5.9_Pitch0.4mm,2,AS3435-EQFM,
J1,CON18_1X18_DR_SFV_GLE,1,connectors_board,
"J10, J11, J12, J13, J14, J15, J16, J17, J18, J9",TestPoint_Pad_D1.0mm,10,right_side,
"J19, J20, J21, J22",TestPoint_Pad_D1.0mm,4,ear_sensor,
J3,TestPoint_Pad_D1.0mm,1,FF_MIC_L_+,
J4,TestPoint_Pad_D1.0mm,1,FF_MIC_L_-,
J5,TestPoint_Pad_D1.0mm,1,FB_MIC_L_+,
J6,TestPoint_Pad_D1.0mm,1,FB_MIC_L_-,
J7,TestPoint_Pad_D1.0mm,1,HP_L_+,
J8,TestPoint_Pad_D1.0mm,1,HP_L_-,
"R1, R10, R11, R43, R47, R49, R53, R8, R9",0402,9,2.2k,
"R12, R15, R16, R23, R25, R32, R34, R41, R54, R55, R58, R59",0402,12,3k,
"R13, R14, R24, R33, R56, R57",0402,6,5.5k,
"R17, R18, R22, R26, R27, R29, R35, R36, R38, R45, R46, R50, R60, R61, R62, R63, R66, R67",0402,18,22k,
"R19, R21, R28, R31, R37, R40, R48, R52, R64, R65, R70, R71",0402,12,6.2k,
"R2, R3, R5",0402,3,100k,
"R20, R30, R39, R51, R68, R69",0402,6,1k,
R4,0402,1,6.8K,
"R42, R44, R6, R7, R74, R75",0402,6,10k,
R72,0402,1,200,
R73,0402,1,68k,
SW2,SW_Push_1P1T_NO_CK_KMR2,1,reset_button,
U1,BM83,1,BM83,
U2,TQFN-48-1EP_7x7mm_P0.5mm_EP5.1x5.1mm,1,ATSAMD21G18_QFN,
U3,SOT-23-5,1,MCP73831T-2ACI/OT,
U4,SOT-23-5,1,SPX3819-3.3,
U5,21-0168E_T822-3_MXM,1,MAX17048G+T10,
U6,SOT-23-5,1,AP2127K-1.8,
"U7, U8",SOT-23-5,2,AP22814AW5,
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768KHz,
